x1,x2,y
0.02990715,-1.11500592,-1
1.377700395,-2.507006298,-1
-0.856509458,1.293382905,-1
3.571154502,-2.39540998,-1
-0.028293934,-7.233395048,-1
-0.91355394,0.423634204,-1
3.437264669,-0.68960094,-1
-0.197545709,-1.264547846,-1
-2.675239766,2.006038364,-1
-6.108442375,-2.136321862,-1
-3.112906087,-3.892047126,-1
3.642744659,1.488106563,1
-1.39290977,-5.289507516,-1
3.240812001,4.11270371,1
3.027775848,2.416566727,-1
3.504347743,4.007350323,1
3.558328822,-3.529341008,-1
4.203503786,4.155771605,1
-1.740894276,-0.742095539,-1
-2.606529226,-6.70446068,-1
-3.017201842,0.896948575,-1
-0.895576559,-5.547166092,-1
-0.72448085,-1.892303383,-1
-2.714353016,0.165896697,-1
-2.302666837,-6.53728121,-1
1.331829576,3.370600878,-1
-0.308276633,-0.579983726,-1
-0.725996642,0.142144431,-1
-5.165976218,-3.428512668,-1
-1.894837298,1.774054908,-1
-2.099561067,-1.314495255,-1
6.88592468,-5.884001765,1
5.022304749,1.728722334,1
-1.526434356,0.634103984,-1
-1.521009454,-0.982586079,-1
0.442977736,3.791923327,-1
0.01716815,-4.856202838,-1
-1.177817429,1.728581413,-1
-1.423768988,0.886066572,-1
2.025711718,3.163471375,-1
-3.265291629,-3.526606401,-1
4.040473445,3.735637037,1
-0.013326212,0.937293378,-1
1.009305743,-4.451376833,-1
3.414705269,-4.765943553,-1
-4.507676825,-7.60071761,-1
0.219602837,-2.483938266,-1
-2.868198949,-1.343694705,-1
-3.293835069,-1.364213951,-1
2.25454396,-3.30950499,-1
-1.832659387,0.468628876,-1
-2.830112091,-4.50998775,-1
0.483522988,-2.087202458,-1
-2.5348863,2.154640968,-1
-0.247970372,-1.598758762,-1
-3.446860985,-3.959284086,-1
0.734102665,-2.485567514,-1
4.38232395,4.041339323,1
-2.025643995,1.178588222,-1
-4.577202383,-4.200324814,-1
-4.545399419,-4.783649162,-1
6.48792965,-6.302810925,1
-0.355088952,0.724491714,-1
2.283917126,-3.707156682,-1
-2.786070562,-3.060873978,-1
2.592851159,3.770176736,-1
2.981073751,4.873684798,1
-3.465209825,1.131760604,-1
-4.314114674,-1.595386109,-1
1.734284709,-1.652324915,-1
-2.033478479,4.017479365,-1
-1.136348218,0.96481317,-1
-1.112157659,-2.35446602,-1
-5.688406744,-4.825817884,-1
-2.23181635,0.527337186,-1
-3.729106456,1.97078233,-1
3.580365558,4.603881169,1
-3.065953458,-1.22106436,-1
-0.615910381,-2.242423801,-1
5.22295206,-0.73560557,-1
3.411384121,2.711518869,-1
0.777924592,-3.29150795,-1
-2.727535506,-2.751301415,-1
-0.753101352,-3.573057303,-1
-0.260485369,-3.995691418,-1
4.28575689,3.857863733,1
-0.109935827,-2.132485063,-1
-2.970441956,-0.592664581,-1
-4.180298218,-0.014176976,-1
3.320676252,-5.3311699,-1
-1.718732285,0.095115578,-1
2.819267289,3.772844736,-1
0.110022413,-8.076759749,-1
-1.779002661,-2.817752551,-1
-5.208509806,2.435979957,-1
-1.040163788,-2.176054612,-1
-1.447100077,-2.2305895,-1
-2.815584127,-3.750707065,-1
-1.844548233,2.228145086,-1
0.46960555,-0.786918766,-1
3.501995958,4.370905273,1
0.938782549,-1.825040125,-1
-3.729699051,-2.155275362,-1
-4.699174794,-2.240949858,-1
-2.930421135,-4.063110977,-1
1.855038167,-1.84012553,-1
-0.822791432,-2.015883384,-1
-3.596931694,-1.160220887,-1
-1.466679856,0.665019685,-1
-2.024787808,-3.163308255,-1
-0.16924935,-2.911623722,-1
-0.473486398,-1.906176978,-1
-0.380667297,-5.561295357,-1
-1.085033664,-0.275949107,-1
-2.290665694,-0.409122862,-1
3.385167073,3.201235374,1
2.617263855,3.208433402,1
-0.998593001,-1.138311626,-1
0.920690976,-3.445866757,-1
-0.672567779,2.16645365,-1
-0.376775589,2.072459342,-1
-2.83563459,-2.43507708,-1
2.89379968,3.133699466,-1
-3.400309157,0.246217079,-1
0.844416943,1.449807436,-1
-0.142495522,-0.348187916,-1
-1.368192897,-2.532415349,-1
-1.302397339,-1.28507634,-1
-0.456025971,1.150295834,-1
-6.817717274,-1.757771712,-1
0.29042545,-6.41675447,-1
-4.045110716,-1.127482971,-1
-2.977721411,0.434615651,-1
4.039331319,4.24907254,1
0.12853941,-5.110897698,-1
1.123056253,-3.948428753,-1
0.081251296,-7.501821456,-1
0.636380092,-1.214503244,-1
-3.958556026,0.470434602,-1
-4.817678332,1.681299472,-1
-3.550817212,-5.022631806,-1
1.048170411,-2.845660161,-1
-1.470384637,0.868522521,-1
-1.993918547,-1.369812162,-1
1.756411522,-0.223476056,-1
0.004748049,1.881979977,-1
-5.28996909,-0.151329079,-1
1.458402009,-6.620190543,-1
2.745680509,-0.287193698,-1
-7.083664628,1.383065999,-1
-2.30232808,-3.481175978,-1
-1.805031766,-4.770953395,-1
-2.468212594,-2.918630612,-1
-2.792081866,-3.380206366,-1
-1.830005851,0.595529225,-1
2.376032485,-0.637284532,-1
1.664625302,-0.225688438,-1
-4.114763285,1.410862633,-1
-2.050579435,1.487924252,-1
-1.737531042,-1.127032599,-1
-3.981383184,2.002311399,-1
-1.791876015,4.697793219,-1
-1.716554314,-1.845207193,-1
-2.745010398,1.726907486,-1
6.879026803,-5.647819794,1
-1.671600655,-1.057320293,-1
-0.547092316,4.426520807,-1
2.07688522,-3.190258821,-1
-0.92938622,-4.553846407,-1
-0.220431781,6.604132227,-1
2.674357635,3.61444752,1
-0.779868499,2.113028836,-1
0.198738649,-0.915959871,-1
-0.495375476,-3.071272489,-1
2.769894702,4.776242106,1
-0.668942673,-0.189153451,-1
-0.306277152,-1.818720654,-1
-2.858757253,-2.578711725,-1
1.324454145,-1.632027109,-1
-5.445571404,-2.330139664,-1
-0.028392705,-1.05280942,-1
-1.324367019,0.142475296,-1
1.252363385,-1.663790089,-1
-4.056032514,-1.93612273,-1
-0.730132318,1.452198005,-1
0.412981684,4.461100153,-1
-4.13137037,3.631462018,-1
2.625086603,3.292184475,1
-5.174953186,2.767004154,-1
1.990164458,-6.469631644,-1
-3.379101194,-0.391864391,-1
-0.636809823,0.037636684,-1
-2.856649927,-1.863571785,-1
2.064389152,-0.289851607,-1
2.643295357,2.911566009,1
-3.688055243,-2.23397408,-1
-5.469192755,-0.990595716,-1
3.722236501,-4.261713562,-1
3.382391687,-2.717501491,-1
3.030496709,-2.925985629,-1
-1.090525662,1.408692344,-1
0.197267586,-1.423036932,-1
0.823495822,1.75540905,-1
-0.543816426,-0.073499696,-1
-5.544621979,0.025466141,-1
3.068406489,4.765394108,1
-2.723656798,-4.29610664,-1
-2.011502277,-1.275242009,-1
-3.89738441,-5.12017984,-1
1.362162562,-4.647338178,-1
-6.284059451,-1.6344426,-1
-1.196647312,-3.335862569,-1
-2.698217344,-6.669682668,-1
0.325236327,0.237128095,-1
-1.588810063,0.796909141,-1
3.391371294,1.765678265,-1
-1.050925118,-1.33111785,-1
-0.027073288,1.615913704,-1
-1.280510866,-2.705998114,-1
-1.361495884,-3.168666988,-1
3.148921133,2.751849224,1
-1.643818974,-1.329332792,-1
0.842897571,1.790384012,-1
-0.084539797,-2.385501878,-1
-1.257470749,-1.693943236,-1
1.788427223,-0.787251166,-1
-1.479281851,0.023188169,-1
-3.731790132,-6.190004621,-1
-0.885443542,-2.909138584,-1
-0.166991918,-7.372643679,-1
