,Dependents,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Gender_nan,Married_Yes,Married_nan,Self_Employed_Yes,Self_Employed_nan,Education_Not Graduate,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y,TotalIncome
0,0.0,1.0829518845609207,1.056389658245763,0.75,1.0,True,False,False,False,False,False,False,False,True,True,0.8386613604745454
1,0.3333333333333333,0.92404125294331,1.045549443692898,0.75,1.0,True,False,True,False,False,False,False,False,False,False,0.8693598230944385
2,0.0,0.6815116258871976,0.6332490389788762,0.75,1.0,True,False,True,False,True,False,False,False,True,True,0.3813621053683246
3,0.0,0.6064629293063449,1.0009738191041937,0.75,1.0,True,False,True,False,False,False,True,False,True,True,0.7142665502335084
4,0.0,1.1003246178536221,1.1139972075075892,0.75,1.0,True,False,False,False,False,False,False,False,True,True,0.8579264604905908
5,0.6666666666666666,1.0315150364236982,1.6094379124341003,0.75,1.0,True,False,True,False,True,False,False,False,True,True,1.2339951287877857
6,0.0,0.5586114889618625,0.8472978603872034,0.75,1.0,True,False,True,False,False,False,True,False,True,True,0.5407394989440415
7,1.0,0.6877340986479663,1.1969716088669524,0.75,0.0,True,False,True,False,False,False,False,True,False,False,0.7980419690695703
8,0.6666666666666666,0.84229085486008,1.2427461902518968,0.75,1.0,True,False,True,False,False,False,False,False,True,True,0.7969681074273962
9,0.3333333333333333,1.6770885524830523,1.8359865126968196,0.75,1.0,True,False,True,False,False,False,False,True,False,False,2.036700521952494
10,0.6666666666666666,0.7156009940522741,0.6656405347701118,0.75,1.0,True,False,True,False,False,False,False,False,True,True,0.5495505091705614
11,0.6666666666666666,0.5908287815176331,0.9362453464036998,0.75,1.0,True,False,True,False,False,True,False,False,True,True,0.6225059914346693
12,0.6666666666666666,0.6940893244350397,1.3765571858420322,0.75,1.0,True,False,True,False,False,False,False,False,True,True,1.3613833495052532
13,0.0,0.459775839167384,0.9661877030187782,0.75,1.0,True,False,False,False,False,False,False,False,False,False,0.6774165612902693
14,0.6666666666666666,0.3320555934461189,0.11692133805890229,0.25,1.0,True,False,True,False,False,False,False,False,True,True,0.24764899037873056
15,0.0,0.9727633922156034,1.0290655539712086,0.75,1.0,True,False,False,False,False,False,False,False,True,True,0.715578647225337
16,0.3333333333333333,0.7798514552713908,0.879980507817562,0.5,1.0,True,False,False,False,False,False,True,False,True,True,0.49584395769905537
17,0.0,0.766244726871029,0.7123416278160924,0.75,0.0,False,False,False,False,False,False,False,False,True,False,0.48011216574481497
18,0.0,0.9645666250114248,1.0724327830863385,0.75,1.0,True,False,True,False,False,False,True,False,False,False,0.7063576078321506
19,0.0,0.609635165592225,0.9720700729218448,0.75,1.0,True,False,True,False,False,True,False,False,True,True,0.8704835239337216
20,0.0,1.2737194619103893,0.9053786984231724,0.75,0.0,True,False,True,False,False,False,True,False,True,False,1.0483496858560577
21,0.3333333333333333,1.0951788089002181,1.7481882209344146,0.75,1.0,True,False,True,False,False,False,False,False,True,True,1.391551322895372
22,0.0,0.609635165592225,0.9779180428042678,0.75,0.0,True,False,True,False,False,False,True,True,False,False,0.6494824271328051
23,0.6666666666666666,0.7428754119719334,0.9543181274633944,0.75,0.0,False,True,True,False,False,False,True,False,False,False,0.7628152815761092
24,0.3333333333333333,0.7986876286150851,1.1636351885993605,0.75,1.0,True,False,True,False,False,True,False,True,False,False,0.9359282791463227
25,0.0,1.44110545393757,1.340696769681018,0.75,1.0,True,False,True,False,True,False,False,True,False,True,1.2293865251655554
26,0.0,0.6460394050080509,1.0123053851137436,0.75,1.0,True,False,True,False,False,False,False,True,False,True,0.7303299903124097
27,0.6666666666666666,0.8742540610586476,0.9423059710153908,0.75,1.0,True,False,True,False,False,False,True,False,True,True,0.760589271126827
28,0.0,0.3666167906170076,0.3386846269041537,0.75,1.0,True,False,False,False,False,False,True,False,True,False,0.0
29,0.6666666666666666,0.8037637816469456,1.0009738191041937,0.75,1.0,False,False,False,False,False,True,False,True,False,True,0.836598108187107
30,0.3333333333333333,0.865637651033208,1.3804634408090974,0.75,1.0,True,False,True,False,False,True,False,False,True,False,1.035207165238641
31,0.0,0.710055693335849,0.6970156573378656,0.75,1.0,True,False,False,False,False,False,False,False,True,False,0.41478359610267096
32,0.3333333333333333,0.9387613026621919,0.9178399188609845,0.75,1.0,True,False,False,False,True,False,False,False,False,False,0.6772651894829793
33,0.0,0.7646504658717375,0.9661877030187782,0.75,1.0,True,False,True,False,False,False,False,True,False,True,0.7467045419129901
34,1.0,1.6549993009365787,1.7615932474024625,0.75,1.0,True,False,False,False,False,False,False,False,False,False,1.6465848316526892
35,0.0,0.5471749056676558,1.056389658245763,0.75,1.0,True,False,True,False,False,False,False,False,True,True,0.6228257484220854
36,0.0,0.45435047863745304,0.879980507817562,0.75,0.0,True,False,True,False,False,False,False,False,True,False,0.41301063331369336
37,0.0,0.7909470527730085,1.1291490125281913,0.75,1.0,False,False,True,False,False,False,False,True,False,True,0.7408973657901627
38,0.0,0.865637651033208,1.3118881930492432,0.75,1.0,True,False,False,False,False,False,False,False,True,True,1.3763177690264212
39,0.0,0.8034568684242495,0.9423059710153908,0.75,1.0,True,False,False,False,False,False,True,True,False,True,0.7812661165193092
40,0.0,0.7804798426929009,0.7423064165180289,0.75,1.0,True,False,False,False,False,False,False,False,True,False,0.4965696800514039
41,0.0,0.4482389240914508,0.463197574776736,0.75,1.0,True,False,False,False,False,False,False,False,True,True,0.38400424907294656
42,0.0,0.5716619273952123,0.7047080029610213,0.75,1.0,True,False,True,False,False,False,False,False,True,True,0.25113230304446765
43,0.0,0.8326482938698154,1.0777238007207541,0.75,1.0,True,False,True,False,False,False,False,True,False,True,0.892330176378202
44,0.0,0.9391633935401466,0.853920401147697,0.75,1.0,True,False,True,False,True,False,True,False,True,True,0.6777192361819144
45,0.0,0.750186573702054,0.799669811397949,0.75,1.0,False,False,False,False,False,False,False,False,True,True,0.4615026498696777
46,0.3333333333333333,1.0594669796984253,0.4334924203628202,0.75,1.0,True,False,True,False,False,False,False,False,True,True,0.8125595882761923
47,0.0,1.079697013916369,1.1291490125281913,0.75,1.0,True,False,True,False,False,False,False,False,True,True,0.8350478704965426
48,0.0,0.6179840081500343,1.0009738191041937,0.75,0.0,False,False,True,False,False,False,False,False,True,False,0.8686099870859245
49,0.0,0.8414046573277452,1.1291490125281913,0.75,1.0,False,False,False,False,False,False,False,True,False,True,0.8920859686783406
50,0.0,0.4758775180839572,0.879980507817562,0.75,1.0,False,False,True,False,False,False,True,True,False,True,0.49147852854823343
51,0.0,0.6963126877590161,1.0009738191041937,0.75,1.0,False,False,False,False,False,False,False,True,False,True,0.39871261879845016
52,0.0,0.8748258572288976,0.9543181274633944,0.75,1.0,False,False,False,False,False,False,False,True,False,False,0.6047600125277312
